pathogen	strain	composition	shape_np	coating	coating_n	mono_poly	molar_mass	molar_volumes	electronegativities	polarizabilities	size_np	time	references	f(n,c,j,s)obs	concentration	biological_activity
Enterococcus faecalis	ATCC29212	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Enterococcus faecalis	ATCC29212	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Enterococcus faecalis	ATCC29212	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Enterococcus faecalis	ATCC29212	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Enterococcus faecalis	ATCC29212	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Enterococcus faecalis	ATCC29212	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Enterococcus faecalis	ATCC29212	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Enterococcus faecalis	ATCC29212	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Enterococcus faecalis	ATCC29212	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Enterococcus faecalis	ATCC29212	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
